...1,Area,Mean,Min,Max,Perim.,Angle,Length
60,2.642,95.766,43.716,131.354,50.652,-74.249,50.652
61,2.021,87.853,19.287,153.876,38.761,-54.516,38.761
62,2.696,52.013,0,148.326,51.714,154.209,51.714
63,3.92,86.568,28.667,153.445,75.188,94.052,75.188
64,2.355,104.781,22.152,143.684,45.167,-8.354,45.167
65,4.197,44.241,1.441,161.908,80.541,-144.953,80.541
66,4.69,110.623,32,155.516,90.014,-159.048,90.014
67,4.012,49.721,1.8,163.151,76.979,-169.237,76.979
68,2.127,115.015,15.667,167.916,40.794,-98.813,40.794
69,1.896,111.374,27.071,167.181,36.363,-114.362,36.363
70,1.682,108.529,29,152.076,32.265,-134.215,32.265
71,1.253,97.43,23.759,159.987,24.012,141.34,24.012
72,1.565,100.77,23.333,150.889,30.007,-1.193,30.007
73,1.226,101.608,19.457,158.481,23.49,-40.684,23.49
74,1737,106.844,27.354,166.461,1735.753,177.424,1735.753
75,326,122.286,57.071,155.409,325.386,-84.71,325.386
76,810,117.514,54.88,168.996,808.844,-9.392,808.844
77,771,117.666,16.253,175,769.896,4.022,769.896
78,649,147.934,99.714,179.333,647.806,-164.419,647.806
79,398,127.904,110.683,167.481,396.59,10.46,396.59
80,661,144.558,67,173.607,660.136,-168.996,660.136
81,1013,123.671,11.333,173.23,1012.028,-11.976,1012.028
82,1058,129.236,37.789,172.591,1057.38,177.073,1057.38
83,1349,113.749,35.239,175.052,1347.544,-169.741,1347.544
84,1314,124.1,85.232,158.73,1312.739,13.211,1312.739
85,1311,60.152,11.755,158.661,1309.994,141.135,1309.994
86,286,157.625,137,171.909,285.237,-165.379,285.237
87,649,127.474,33.667,166.79,647.611,166.608,647.611
88,705,144.082,73.658,180.627,704.329,-156.93,704.329
89,918,133.436,48.829,174.78,917.372,141.106,917.372
90,920,131.744,110.425,155.195,919.254,-2.993,919.254
91,1175,103.294,26.236,173.672,1174.346,-168.805,1174.346
92,431,136.176,109.945,171.343,429.66,-35.91,429.66
93,863,114.094,27.319,159.684,861.538,27.814,861.538
94,864,127.928,13.333,177.355,862.687,66.644,862.687
95,1076,137.132,111.667,182,1075.407,-112.989,1075.407
96,1230,77.992,6.476,162.667,1229.048,99.554,1229.048
97,421,124.531,59.914,174.653,419.829,-120.964,419.829
98,344,123.614,60.568,156.541,343.208,-53.531,343.208
99,516,117.366,6.928,152.576,514.533,-121.651,514.533
100,570,86.93,25,154.286,569.21,124.695,569.21
101,401,107.261,16.671,171.183,400.25,40.135,400.25
102,1772,74.242,7.762,149.447,1770.895,120.997,1770.895
103,341,121.286,81.965,152.868,339.835,-47.862,339.835
104,224,113.893,25.333,160.942,222.729,4.635,222.729
105,309,115.343,20.333,156.662,307.877,-123.071,307.877
106,1125,42.316,2.438,142.092,1124.372,134.351,1124.372
107,2470,47.67,1.533,144.936,2469.159,-51.71,2469.159
108,561,114.931,15.333,183.911,560.446,158.654,560.446
109,508,120.497,50.667,170.183,507.027,140.281,507.027
110,348,104.651,24,126.87,346.653,66.541,346.653
